"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"Scenario 1","92.9% (146.68)","100% (75.64)","100% (104.76)","98.01% (62.32)","45.38% (8.16)","99.85% (39.02)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 2","93.47% (150.51)","100% (77.34)","100% (108.04)","98.08% (64.87)","45.3% (7.73)","99.88% (40.2)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 3","93.72% (153.01)","100% (79.1)","100% (110.38)","98.04% (65.68)","46.44% (7.72)","99.94% (40.93)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 4","93.99% (154.76)","100% (79.85)","100% (112.72)","98.02% (67.09)","46.44% (7.34)","100% (43.23)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 5","93.99% (154.47)","100% (80.07)","100% (113.28)","97.91% (66.85)","45.89% (7.07)","100% (42.4)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 6","94.3% (158.31)","100% (80.72)","100% (115.89)","98.15% (69.76)","47.63% (7.32)","100% (42.84)","NA% (NA)","NA% (NA)","NA% (NA)"
"scenario 7","94.22% (159.06)","100% (81.32)","100% (116.59)","97.99% (70.12)","46.11% (7.16)","100% (42.98)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 8","94.46% (159.35)","100% (81.61)","100% (116.44)","98.26% (70.11)","47.16% (7.16)","100% (41.39)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 9","94.47% (159.83)","100% (81.49)","100% (117.84)","97.99% (70.83)","47.61% (7.08)","100% (41.7)","NA% (NA)","NA% (NA)","NA% (NA)"
