"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1","94.74% (127.16)","100% (64.39)","100% (83.82)","99.67% (48.02)","67.74% (14.26)","100% (22.81)","NA% (NA)","NA% (NA)","NA% (NA)"
"2","95.33% (137.43)","100% (68.74)","100% (92.11)","99.8% (54.56)","67.45% (13.58)","100% (23.36)","NA% (NA)","NA% (NA)","NA% (NA)"
"3","95.88% (143.45)","100% (72.45)","100% (97.23)","99.61% (57.32)","68.66% (13.03)","100% (24.12)","NA% (NA)","NA% (NA)","NA% (NA)"
"4","96.02% (149.79)","100% (75.65)","100% (103.52)","99.81% (61.41)","66.57% (12.06)","100% (23.4)","NA% (NA)","NA% (NA)","NA% (NA)"
"5","96.39% (154.7)","100% (77.88)","100% (107.91)","99.8% (64.3)","68.12% (12.01)","100% (22.06)","NA% (NA)","NA% (NA)","NA% (NA)"
"6","96.59% (158.26)","100% (79.34)","100% (111.89)","99.82% (67.14)","67.2% (11.08)","100% (20.79)","NA% (NA)","NA% (NA)","NA% (NA)"
"7","96.86% (161.31)","100% (79.59)","100% (113.17)","99.8% (69.78)","68.35% (11.23)","100% (20.2)","NA% (NA)","NA% (NA)","NA% (NA)"
"8","96.9% (161.81)","100% (80.95)","100% (115.2)","99.73% (69.48)","68.58% (10.79)","100% (19)","NA% (NA)","NA% (NA)","NA% (NA)"
"9","96.74% (161.86)","100% (80.49)","100% (115.77)","99.73% (70.13)","66.57% (10.55)","100% (18.84)","NA% (NA)","NA% (NA)","NA% (NA)"
