"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"Scenario 1","86.91% (137.19)","99.99% (75.63)","99.56% (104.29)","87.98% (55.93)","28.31% (5.13)","100% (39.08)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 2","89.64% (144.34)","100% (77.34)","99.86% (107.89)","91.88% (60.77)","34.19% (5.81)","100% (40.25)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 3","91.2% (148.89)","100% (79.1)","99.97% (110.35)","94.27% (63.12)","37.28% (6.17)","100% (40.95)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 4","92.41% (152.13)","100% (79.85)","99.96% (112.68)","95.7% (65.48)","40.22% (6.39)","100% (43.23)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 5","92.67% (152.29)","100% (80.07)","99.93% (113.2)","95.7% (65.35)","41.92% (6.43)","100% (42.4)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 6","93.84% (157.54)","100% (80.72)","99.99% (115.88)","97.41% (69.24)","45.68% (7.08)","100% (42.84)","NA% (NA)","NA% (NA)","NA% (NA)"
"scenario 7","94.17% (158.98)","100% (81.32)","100% (116.59)","97.87% (70.04)","45.81% (7.17)","100% (42.98)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 8","94.56% (159.52)","100% (81.61)","100% (116.44)","98.23% (70.09)","48.43% (7.35)","100% (41.39)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 9","94.47% (159.83)","100% (81.49)","100% (117.84)","97.99% (70.83)","47.61% (7.08)","100% (41.7)","NA% (NA)","NA% (NA)","NA% (NA)"
