"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"Scenario 1",134.25,64.39,83.82,48.18,21.16,22.81,0,0,0
"Scenario 2",144.18,68.74,92.11,54.67,20.21,23.36,0,0,0
"Scenario 3",149.61,72.45,97.23,57.54,18.95,24.12,0,0,0
"Scenario 4",156,75.65,103.52,61.53,18.13,23.4,0,0,0
"Scenario 5",160.52,77.88,107.91,64.43,17.69,22.06,0,0,0
"Scenario 6",163.86,79.34,111.89,67.26,16.54,20.79,0,0,0
"scenario 7",166.53,79.59,113.17,69.91,16.32,20.2,0,0,0
"Scenario 8",167,80.95,115.2,69.67,15.78,19,0,0,0
"Scenario 9",167.31,80.49,115.77,70.31,15.81,18.84,0,0,0
