"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"Scenario 1","90.91% (122.05)","100% (64.39)","100% (83.82)","97.74% (47.1)","48% (10.15)","100% (22.81)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 2","93.04% (134.13)","100% (68.74)","100% (92.11)","98.6% (53.9)","54.38% (11)","100% (23.36)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 3","94.35% (141.14)","100% (72.45)","100% (97.23)","99.25% (57.11)","57.79% (10.95)","100% (24.12)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 4","95.07% (148.32)","100% (75.65)","100% (103.52)","99.14% (61.01)","60.92% (11.03)","100% (23.4)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 5","95.9% (153.94)","100% (77.88)","100% (107.91)","99.53% (64.14)","64.52% (11.42)","100% (22.06)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 6","96.3% (157.8)","100% (79.34)","100% (111.89)","99.66% (67.04)","64.77% (10.72)","100% (20.79)","NA% (NA)","NA% (NA)","NA% (NA)"
"scenario 7","96.82% (161.24)","100% (79.59)","100% (113.17)","99.82% (69.78)","67.93% (11.16)","100% (20.2)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 8","96.82% (161.68)","100% (80.95)","100% (115.2)","99.67% (69.44)","68.09% (10.7)","100% (19)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 9","96.74% (161.86)","100% (80.49)","100% (115.77)","99.73% (70.13)","66.57% (10.55)","100% (18.84)","NA% (NA)","NA% (NA)","NA% (NA)"
