"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1","99.5% (198.65)","100% (88.33)","100% (150.14)","99.91% (106.05)","NaN% (3.72)","100% (50.19)","NA% (NA)","NA% (NA)","NA% (NA)"
"2","99.63% (198.94)","100% (89.42)","100% (157.93)","99.92% (106.16)","NaN% (2.82)","100% (47.12)","NA% (NA)","NA% (NA)","NA% (NA)"
"3","99.71% (199.11)","100% (92.1)","100% (162.31)","99.98% (104.06)","NaN% (2.29)","100% (45.37)","NA% (NA)","NA% (NA)","NA% (NA)"
"4","99.81% (199.38)","100% (92.59)","100% (164.88)","99.98% (104.47)","NaN% (1.68)","100% (42.84)","NA% (NA)","NA% (NA)","NA% (NA)"
"5","99.73% (199.19)","100% (92.43)","100% (165.34)","99.97% (104.62)","NaN% (1.66)","100% (40.95)","NA% (NA)","NA% (NA)","NA% (NA)"
"6","99.77% (199.29)","100% (95.94)","100% (169.98)","99.93% (101.17)","NaN% (1.5)","100% (39.36)","NA% (NA)","NA% (NA)","NA% (NA)"
"7","99.78% (199.32)","100% (96.23)","100% (170.76)","99.97% (100.88)","NaN% (1.56)","100% (39.73)","NA% (NA)","NA% (NA)","NA% (NA)"
"8","99.84% (199.5)","100% (96.16)","100% (171.19)","99.97% (101.24)","NaN% (1.33)","100% (38.86)","NA% (NA)","NA% (NA)","NA% (NA)"
"9","99.82% (199.47)","100% (96.39)","100% (171.31)","99.97% (101.39)","NaN% (1.08)","100% (38.91)","NA% (NA)","NA% (NA)","NA% (NA)"
