"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"Scenario 1","92.87% (145.31)","100% (75.87)","100% (103.94)","97.78% (60.78)","44.97% (7.99)","99.82% (39.12)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 2","93.17% (149.37)","100% (76.87)","100% (107.41)","97.63% (64.37)","45.09% (7.61)","99.98% (40.2)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 3","93.88% (153.01)","100% (78.57)","100% (110.35)","98.04% (66.62)","46.22% (7.47)","99.9% (40.14)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 4","94.02% (154.35)","100% (79.69)","100% (112.92)","98.03% (66.8)","46.3% (7.28)","100% (42.84)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 5","93.88% (155.87)","100% (80.32)","100% (113.41)","97.93% (67.54)","45.97% (7.47)","99.98% (44.06)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 6","94.07% (157.14)","100% (80.86)","100% (114.76)","97.99% (68.75)","46.11% (7.16)","100% (42.29)","NA% (NA)","NA% (NA)","NA% (NA)"
"scenario 7","94.55% (159.45)","100% (81.4)","100% (116.71)","98.26% (70.04)","48.89% (7.55)","100% (42.26)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 8","94.35% (158.69)","100% (81.92)","100% (116.87)","97.77% (69.1)","47.76% (7.04)","100% (42.25)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 9","94.24% (158.69)","100% (82.07)","100% (116.22)","98.14% (69.06)","46.22% (7.06)","100% (42.33)","NA% (NA)","NA% (NA)","NA% (NA)"
