"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"Scenario 1","99.74% (199.13)","100% (88.33)","100% (150.14)","99.91% (106.06)","NaN% (4.17)","100% (50.19)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 2","99.77% (199.21)","100% (89.42)","100% (157.93)","99.93% (106.17)","NaN% (3.06)","100% (47.12)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 3","99.75% (199.19)","100% (92.1)","100% (162.31)","99.94% (104.02)","NaN% (2.4)","100% (45.37)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 4","99.85% (199.46)","100% (92.59)","100% (164.88)","99.99% (104.48)","NaN% (1.75)","100% (42.84)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 5","99.79% (199.32)","100% (92.43)","100% (165.34)","99.91% (104.56)","NaN% (1.86)","100% (40.95)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 6","99.83% (199.42)","100% (95.94)","100% (169.98)","99.94% (101.18)","NaN% (1.62)","100% (39.36)","NA% (NA)","NA% (NA)","NA% (NA)"
"scenario 7","99.81% (199.37)","100% (96.23)","100% (170.76)","99.92% (100.83)","NaN% (1.66)","100% (39.73)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 8","99.84% (199.48)","100% (96.16)","100% (171.19)","99.95% (101.22)","NaN% (1.32)","100% (38.86)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 9","99.81% (199.45)","100% (96.39)","100% (171.31)","99.96% (101.38)","NaN% (1.07)","100% (38.91)","NA% (NA)","NA% (NA)","NA% (NA)"
