"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1","99.47% (198.59)","100% (88.33)","100% (150.14)","99.86% (106)","NaN% (3.71)","100% (50.19)","NA% (NA)","NA% (NA)","NA% (NA)"
"2","99.63% (198.94)","100% (89.42)","100% (157.93)","99.95% (106.19)","NaN% (2.78)","100% (47.12)","NA% (NA)","NA% (NA)","NA% (NA)"
"3","99.62% (198.92)","100% (92.1)","100% (162.31)","99.88% (103.95)","NaN% (2.2)","100% (45.37)","NA% (NA)","NA% (NA)","NA% (NA)"
"4","99.8% (199.35)","100% (92.59)","100% (164.88)","99.91% (104.4)","NaN% (1.72)","100% (42.84)","NA% (NA)","NA% (NA)","NA% (NA)"
"5","99.68% (199.09)","100% (92.43)","100% (165.34)","99.95% (104.6)","NaN% (1.58)","100% (40.95)","NA% (NA)","NA% (NA)","NA% (NA)"
"6","99.87% (199.49)","100% (95.94)","100% (169.98)","99.97% (101.21)","NaN% (1.66)","100% (39.36)","NA% (NA)","NA% (NA)","NA% (NA)"
"7","99.74% (199.23)","100% (96.23)","100% (170.76)","99.96% (100.87)","NaN% (1.5)","100% (39.73)","NA% (NA)","NA% (NA)","NA% (NA)"
"8","99.79% (199.4)","100% (96.16)","100% (171.19)","99.93% (101.2)","NaN% (1.26)","100% (38.86)","NA% (NA)","NA% (NA)","NA% (NA)"
"9","99.87% (199.57)","100% (96.39)","100% (171.31)","99.97% (101.39)","NaN% (1.18)","100% (38.91)","NA% (NA)","NA% (NA)","NA% (NA)"
