"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"Scenario 1","99.22% (197.85)","100% (87.67)","99.96% (144.23)","99.38% (103.92)","85.54% (5.65)","100% (56.48)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 2","99.19% (197.89)","100% (89)","99.98% (151.85)","99.55% (104.92)","75.72% (3.37)","100% (53.76)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 3","99.22% (198.2)","100% (90.67)","99.98% (158.82)","99.45% (104.57)","NaN% (2.35)","100% (52.04)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 4","99.41% (198.58)","100% (91.89)","99.99% (161.53)","99.62% (104.07)","NaN% (2.05)","100% (49.59)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 5","99.34% (198.46)","100% (91.69)","99.99% (164.51)","99.55% (104.86)","NaN% (1.45)","100% (48.56)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 6","99.49% (198.84)","100% (94.86)","100% (169.57)","99.63% (102.12)","NaN% (1.21)","100% (47.72)","NA% (NA)","NA% (NA)","NA% (NA)"
"scenario 7","99.5% (198.85)","100% (96.55)","100% (170.1)","99.58% (100.55)","NaN% (1.2)","100% (47.19)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 8","99.41% (198.57)","100% (96.44)","99.99% (171.26)","99.46% (100.7)","NaN% (0.82)","100% (46.03)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 9","99.37% (198.51)","100% (96.67)","99.99% (171.82)","99.51% (100.4)","NaN% (0.85)","100% (46.37)","NA% (NA)","NA% (NA)","NA% (NA)"
