"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"Scenario 1","99.73% (199.11)","100% (88.33)","100% (150.14)","99.84% (105.98)","NaN% (4.23)","100% (50.19)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 2","99.71% (199.1)","100% (89.42)","100% (157.93)","99.93% (106.17)","NaN% (2.96)","100% (47.12)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 3","99.75% (199.18)","100% (92.1)","100% (162.31)","99.92% (104)","NaN% (2.42)","100% (45.37)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 4","99.82% (199.39)","100% (92.59)","100% (164.88)","99.94% (104.43)","NaN% (1.73)","100% (42.84)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 5","99.77% (199.27)","100% (92.43)","100% (165.34)","99.96% (104.61)","NaN% (1.75)","100% (40.95)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 6","99.79% (199.34)","100% (95.94)","100% (169.98)","99.96% (101.2)","NaN% (1.51)","100% (39.36)","NA% (NA)","NA% (NA)","NA% (NA)"
"scenario 7","99.8% (199.35)","100% (96.23)","100% (170.76)","99.96% (100.87)","NaN% (1.6)","100% (39.73)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 8","99.82% (199.45)","100% (96.16)","100% (171.19)","99.96% (101.23)","NaN% (1.28)","100% (38.86)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 9","99.81% (199.46)","100% (96.39)","100% (171.31)","99.97% (101.39)","NaN% (1.08)","100% (38.91)","NA% (NA)","NA% (NA)","NA% (NA)"
