"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"Scenario 1",199.4,87.67,144.29,104.56,6.54,56.48,0,0,0
"Scenario 2",199.5,89,151.88,105.39,4.5,53.76,0,0,0
"Scenario 3",199.75,90.67,158.86,105.15,3.29,52.04,0,0,0
"Scenario 4",199.76,91.89,161.55,104.46,2.84,49.59,0,0,0
"Scenario 5",199.77,91.69,164.52,105.33,2.27,48.56,0,0,0
"Scenario 6",199.85,94.86,169.57,102.5,1.82,47.72,0,0,0
"scenario 7",199.84,96.55,170.1,100.97,1.74,47.19,0,0,0
"Scenario 8",199.75,96.44,171.27,101.24,1.44,46.03,0,0,0
"Scenario 9",199.77,96.67,171.83,100.89,1.61,46.37,0,0,0
