"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"Scenario 1","97.82% (195.06)","100% (87.67)","100% (144.29)","98.74% (103.24)","54.51% (3.56)","99.59% (56.24)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 2","98.38% (196.26)","100% (89)","100% (151.88)","98.81% (104.13)","58.31% (2.55)","99.76% (53.62)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 3","98.9% (197.56)","100% (90.67)","99.99% (158.85)","99.23% (104.35)","NaN% (1.91)","99.84% (51.96)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 4","98.92% (197.61)","100% (91.89)","99.99% (161.54)","99.18% (103.61)","NaN% (1.59)","99.96% (49.57)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 5","99.16% (198.1)","100% (91.69)","100% (164.52)","99.4% (104.7)","NaN% (1.23)","99.98% (48.55)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 6","99.31% (198.47)","100% (94.86)","100% (169.57)","99.41% (101.89)","NaN% (1.05)","100% (47.72)","NA% (NA)","NA% (NA)","NA% (NA)"
"scenario 7","99.44% (198.72)","100% (96.55)","99.99% (170.09)","99.59% (100.56)","NaN% (1.03)","100% (47.19)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 8","99.44% (198.64)","100% (96.44)","100% (171.27)","99.51% (100.74)","NaN% (0.84)","100% (46.03)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 9","99.37% (198.51)","100% (96.67)","100% (171.83)","99.5% (100.39)","NaN% (0.89)","100% (46.37)","NA% (NA)","NA% (NA)","NA% (NA)"
