"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"Scenario 1","99.28% (198.41)","100% (97.04)","99.99% (170.99)","99.37% (99.66)","NaN% (1.11)","100% (57.16)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 2","99.47% (198.76)","100% (96.96)","100% (171.54)","99.58% (100.32)","NaN% (0.96)","100% (55.69)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 3","99.53% (198.92)","100% (96.34)","100% (171)","99.68% (100.53)","NaN% (1.31)","100% (53.19)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 4","99.72% (199.29)","100% (96.44)","100% (170.93)","99.89% (100.79)","NaN% (1.36)","100% (51.69)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 5","99.64% (199.11)","100% (96.23)","100% (170.96)","99.88% (100.79)","NaN% (1.44)","100% (48.87)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 6","99.76% (199.43)","100% (96.79)","100% (171.46)","99.95% (100.69)","NaN% (1.22)","100% (44.71)","NA% (NA)","NA% (NA)","NA% (NA)"
"scenario 7","99.77% (199.4)","100% (96.37)","100% (171.31)","99.97% (101.17)","NaN% (1.34)","100% (43.05)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 8","99.76% (199.39)","100% (96.61)","100% (170.3)","99.96% (100.7)","NaN% (1.38)","100% (38.53)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 9","99.84% (199.46)","100% (96.48)","100% (171.28)","99.99% (101.01)","NaN% (1.15)","100% (38.38)","NA% (NA)","NA% (NA)","NA% (NA)"
