"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"Scenario 1",199.86,96.31,170.03,101.21,1.71,62.12,0,0,0
"Scenario 2",199.68,96.54,170.16,100.78,1.78,60.6,0,0,0
"Scenario 3",199.82,96.22,170.61,101.27,1.65,58.48,0,0,0
"Scenario 4",199.83,96.68,170.74,100.77,1.65,58.97,0,0,0
"Scenario 5",199.84,97.14,171.27,100.54,1.55,56.48,0,0,0
"Scenario 6",199.78,96.73,170.68,100.9,1.61,51,0,0,0
"scenario 7",199.89,96.58,171.34,100.68,1.81,50.79,0,0,0
"Scenario 8",199.82,97.38,171.08,100.18,1.51,47.09,0,0,0
"Scenario 9",199.84,96.75,171.55,100.8,1.59,47.24,0,0,0
