"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"Scenario 1",199.65,88.33,150.14,106.15,4.6,50.19,0,0,0
"Scenario 2",199.67,89.42,157.93,106.24,3.45,47.12,0,0,0
"Scenario 3",199.68,92.1,162.31,104.08,2.83,45.37,0,0,0
"Scenario 4",199.75,92.59,164.88,104.49,2.03,42.84,0,0,0
"Scenario 5",199.73,92.43,165.34,104.65,2.17,40.95,0,0,0
"Scenario 6",199.75,95.94,169.98,101.24,1.88,39.36,0,0,0
"scenario 7",199.75,96.23,170.76,100.91,1.96,39.73,0,0,0
"Scenario 8",199.81,96.16,171.19,101.27,1.6,38.86,0,0,0
"Scenario 9",199.83,96.39,171.31,101.42,1.41,38.91,0,0,0
