"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1","99.77% (199.4)","100% (97.04)","100% (171)","99.95% (100.24)","NaN% (1.51)","100% (57.16)","NA% (NA)","NA% (NA)","NA% (NA)"
"2","99.84% (199.48)","100% (96.96)","100% (171.54)","99.94% (100.68)","NaN% (1.31)","100% (55.69)","NA% (NA)","NA% (NA)","NA% (NA)"
"3","99.83% (199.51)","100% (96.34)","100% (171)","99.97% (100.82)","NaN% (1.59)","100% (53.19)","NA% (NA)","NA% (NA)","NA% (NA)"
"4","99.79% (199.43)","100% (96.44)","100% (170.93)","99.97% (100.87)","NaN% (1.39)","100% (51.69)","NA% (NA)","NA% (NA)","NA% (NA)"
"5","99.74% (199.32)","100% (96.23)","100% (170.96)","99.97% (100.88)","NaN% (1.56)","100% (48.87)","NA% (NA)","NA% (NA)","NA% (NA)"
"6","99.81% (199.52)","100% (96.79)","100% (171.46)","99.95% (100.69)","NaN% (1.31)","100% (44.71)","NA% (NA)","NA% (NA)","NA% (NA)"
"7","99.78% (199.42)","100% (96.37)","100% (171.31)","99.93% (101.13)","NaN% (1.4)","100% (43.05)","NA% (NA)","NA% (NA)","NA% (NA)"
"8","99.78% (199.42)","100% (96.61)","100% (170.3)","99.96% (100.7)","NaN% (1.41)","100% (38.53)","NA% (NA)","NA% (NA)","NA% (NA)"
"9","99.84% (199.47)","100% (96.48)","100% (171.28)","99.95% (100.97)","NaN% (1.2)","100% (38.38)","NA% (NA)","NA% (NA)","NA% (NA)"
