"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"Scenario 1","99.32% (198.51)","100% (96.31)","100% (170.03)","99.35% (100.55)","NaN% (1.04)","99.89% (62.05)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 2","99.34% (198.37)","100% (96.54)","100% (170.16)","99.39% (100.16)","NaN% (1.09)","99.89% (60.53)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 3","99.28% (198.38)","100% (96.22)","100% (170.61)","99.39% (100.66)","NaN% (0.87)","99.95% (58.45)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 4","99.41% (198.66)","100% (96.68)","100% (170.74)","99.38% (100.15)","NaN% (1.1)","99.95% (58.94)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 5","99.47% (198.78)","100% (97.14)","100% (171.27)","99.56% (100.1)","NaN% (0.94)","100% (56.48)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 6","99.27% (198.32)","100% (96.73)","100% (170.68)","99.4% (100.29)","NaN% (0.78)","100% (51)","NA% (NA)","NA% (NA)","NA% (NA)"
"scenario 7","99.31% (198.52)","100% (96.58)","100% (171.34)","99.45% (100.13)","NaN% (1.01)","100% (50.79)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 8","99.38% (198.59)","100% (97.38)","100% (171.08)","99.44% (99.62)","NaN% (0.84)","100% (47.09)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 9","99.43% (198.71)","100% (96.75)","100% (171.55)","99.54% (100.34)","NaN% (0.94)","100% (47.24)","NA% (NA)","NA% (NA)","NA% (NA)"
