"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"Scenario 1","99.24% (198.33)","100% (97.04)","99.99% (170.99)","99.27% (99.55)","NaN% (1.15)","100% (57.16)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 2","99.5% (198.81)","100% (96.96)","99.99% (171.53)","99.6% (100.34)","NaN% (0.99)","100% (55.69)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 3","99.63% (199.12)","100% (96.34)","100% (171)","99.81% (100.66)","NaN% (1.37)","100% (53.19)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 4","99.75% (199.36)","100% (96.44)","100% (170.93)","99.84% (100.74)","NaN% (1.47)","100% (51.69)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 5","99.65% (199.14)","100% (96.23)","100% (170.96)","99.87% (100.78)","NaN% (1.49)","100% (48.87)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 6","99.77% (199.44)","100% (96.79)","100% (171.46)","99.98% (100.72)","NaN% (1.18)","100% (44.71)","NA% (NA)","NA% (NA)","NA% (NA)"
"scenario 7","99.83% (199.52)","100% (96.37)","100% (171.31)","99.98% (101.18)","NaN% (1.45)","100% (43.05)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 8","99.77% (199.4)","100% (96.61)","100% (170.3)","99.98% (100.72)","NaN% (1.36)","100% (38.53)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 9","99.79% (199.36)","100% (96.48)","100% (171.28)","99.93% (100.95)","NaN% (1.11)","100% (38.38)","NA% (NA)","NA% (NA)","NA% (NA)"
