"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"Scenario 1","98.18% (196.22)","99.96% (96.27)","99.73% (169.57)","97.3% (98.5)","NaN% (0.86)","100% (62.12)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 2","98.68% (197.04)","99.97% (96.51)","99.88% (169.96)","98.2% (98.98)","NaN% (0.97)","100% (60.6)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 3","99.06% (197.94)","100% (96.22)","99.97% (170.56)","98.93% (100.18)","NaN% (0.92)","100% (58.48)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 4","99.11% (198.05)","100% (96.68)","99.97% (170.69)","98.95% (99.71)","NaN% (0.95)","100% (58.97)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 5","99.23% (198.3)","100% (97.14)","99.99% (171.26)","99.19% (99.73)","NaN% (0.85)","100% (56.48)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 6","99.25% (198.29)","100% (96.73)","99.99% (170.67)","99.27% (100.17)","NaN% (0.86)","100% (51)","NA% (NA)","NA% (NA)","NA% (NA)"
"scenario 7","99.35% (198.59)","100% (96.58)","100% (171.34)","99.46% (100.14)","NaN% (1.07)","100% (50.79)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 8","99.43% (198.68)","100% (97.38)","100% (171.08)","99.49% (99.67)","NaN% (0.9)","100% (47.09)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 9","99.34% (198.52)","100% (96.75)","100% (171.55)","99.52% (100.31)","NaN% (0.77)","100% (47.24)","NA% (NA)","NA% (NA)","NA% (NA)"
