"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"Scenario 1",199.85,97.04,171,100.29,1.91,57.16,0,0,0
"Scenario 2",199.81,96.96,171.54,100.74,1.58,55.69,0,0,0
"Scenario 3",199.85,96.34,171,100.85,1.9,53.19,0,0,0
"Scenario 4",199.85,96.44,170.93,100.9,1.78,51.69,0,0,0
"Scenario 5",199.83,96.23,170.96,100.91,2.04,48.87,0,0,0
"Scenario 6",199.9,96.79,171.46,100.74,1.62,44.71,0,0,0
"scenario 7",199.85,96.37,171.31,101.2,1.76,43.05,0,0,0
"Scenario 8",199.86,96.61,170.3,100.74,1.8,38.53,0,0,0
"Scenario 9",199.78,96.48,171.28,101.02,1.46,38.38,0,0,0
