"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"Scenario 1","98.16% (196.19)","99.99% (96.3)","99.74% (169.59)","97.19% (98.37)","NaN% (0.91)","100% (62.12)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 2","98.76% (197.21)","100% (96.54)","99.89% (169.98)","98.28% (99.05)","NaN% (1.04)","100% (60.6)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 3","99.02% (197.86)","100% (96.22)","99.98% (170.57)","98.73% (99.98)","NaN% (1.01)","100% (58.48)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 4","99.19% (198.21)","100% (96.68)","99.97% (170.68)","99.02% (99.79)","NaN% (1.03)","100% (58.97)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 5","99.16% (198.17)","100% (97.14)","99.99% (171.26)","99.11% (99.64)","NaN% (0.79)","100% (56.48)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 6","99.23% (198.25)","100% (96.73)","99.99% (170.67)","99.28% (100.17)","NaN% (0.86)","100% (51)","NA% (NA)","NA% (NA)","NA% (NA)"
"scenario 7","99.28% (198.46)","100% (96.58)","100% (171.34)","99.37% (100.04)","NaN% (1.06)","100% (50.79)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 8","99.39% (198.6)","100% (97.38)","100% (171.08)","99.5% (99.68)","NaN% (0.83)","100% (47.09)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 9","99.37% (198.58)","100% (96.75)","100% (171.55)","99.52% (100.31)","NaN% (0.83)","100% (47.24)","NA% (NA)","NA% (NA)","NA% (NA)"
