"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"Scenario 1","99.35% (198.56)","100% (96.31)","99.99% (170.02)","99.39% (100.6)","NaN% (1.07)","99.86% (62.03)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 2","99.32% (198.32)","100% (96.54)","100% (170.16)","99.5% (100.26)","NaN% (0.95)","99.94% (60.56)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 3","99.36% (198.54)","100% (96.22)","100% (170.61)","99.45% (100.72)","NaN% (0.94)","99.9% (58.42)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 4","99.35% (198.54)","100% (96.68)","100% (170.74)","99.51% (100.28)","NaN% (0.87)","100% (58.97)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 5","99.34% (198.53)","100% (97.14)","100% (171.27)","99.37% (99.91)","NaN% (0.89)","100% (56.48)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 6","99.37% (198.52)","100% (96.73)","100% (170.68)","99.47% (100.36)","NaN% (0.94)","100% (51)","NA% (NA)","NA% (NA)","NA% (NA)"
"scenario 7","99.34% (198.58)","100% (96.58)","100% (171.34)","99.44% (100.12)","NaN% (1.1)","100% (50.79)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 8","99.39% (198.6)","100% (97.38)","99.99% (171.07)","99.5% (99.69)","NaN% (0.8)","100% (47.09)","NA% (NA)","NA% (NA)","NA% (NA)"
"Scenario 9","99.32% (198.48)","100% (96.75)","100% (171.55)","99.41% (100.2)","NaN% (0.85)","100% (47.24)","NA% (NA)","NA% (NA)","NA% (NA)"
