"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","99.79% (199.43)","100% (97.04)","100% (171)","99.95% (100.24)","NaN% (1.55)","100% (57.16)","NA% (NA)","NA% (NA)","NA% (NA)"
"2","99.81% (199.44)","100% (96.96)","100% (171.54)","99.96% (100.7)","NaN% (1.25)","100% (55.69)","NA% (NA)","NA% (NA)","NA% (NA)"
"3","99.8% (199.45)","100% (96.34)","100% (171)","99.98% (100.83)","NaN% (1.53)","100% (53.19)","NA% (NA)","NA% (NA)","NA% (NA)"
"4","99.77% (199.39)","100% (96.44)","100% (170.93)","99.95% (100.85)","NaN% (1.38)","100% (51.69)","NA% (NA)","NA% (NA)","NA% (NA)"
"5","99.73% (199.3)","100% (96.23)","100% (170.96)","99.97% (100.88)","NaN% (1.54)","100% (48.87)","NA% (NA)","NA% (NA)","NA% (NA)"
"6","99.82% (199.55)","100% (96.79)","100% (171.46)","99.98% (100.72)","NaN% (1.29)","100% (44.71)","NA% (NA)","NA% (NA)","NA% (NA)"
"7","99.84% (199.53)","100% (96.37)","100% (171.31)","99.99% (101.19)","NaN% (1.47)","100% (43.05)","NA% (NA)","NA% (NA)","NA% (NA)"
"8","99.74% (199.34)","100% (96.61)","100% (170.3)","99.94% (100.68)","NaN% (1.35)","100% (38.53)","NA% (NA)","NA% (NA)","NA% (NA)"
"9","99.86% (199.5)","100% (96.48)","100% (171.28)","99.98% (101)","NaN% (1.22)","100% (38.38)","NA% (NA)","NA% (NA)","NA% (NA)"
